slang,formal,unsure
Liatiiin,melihatkan,0
jombsss,jomlo,0
emeessss,gemas,0
sll,selalu,0
lebi,lebih,0
kliatan,kelihatan,0
bgt,banget,0
kayaak,kayak,0
nggk,enggak,0
kebukti,terbukti,0
anak2e,anak-anaknya,1
hidunge,hidungnya,0
iyooo,iya,0
sumpahhh,sumpah,0
K,oke,0
yg,yang,0
dg,dengan,0
org,orang,0
kra,kira,0
K,oke,0
klo,kalau,0
lg,lagi,0
kyk,kayak,0
gini,begini,0
kluarga,keluarga,0
pmbantu,pembantu,0
yg,yang,0
y,ya,0
cntik.na,cantiknya,1
gg,enggak,0
nahan,tahan,1
Kangennnnnmnnnnnnnnnnnnnnnnn,kangen,0
kaliannnnnm,kalian,0
jgn,jangan,0
nangisin,menangisi,0
bg,bang,0
yaa,ya,0
Udah,sudah,0
Tp,tapi,0
skrg,sekarang,0
nyia2in,menyia-nyiakan,1
yg,yang,0
kmu,kamu,0
kerennnnnnnnnn,keren,0
s/d,s.d.,1
thn,tahun,0
tuk,untuk,0
ga,enggak,0
Udah,sudah,0
tau,tahu,0
d,di,0
ga,enggak,0
leh,boleh,0
d,di,0
catet,catat,0
jg,juga,0
resto,restoran,1
resto,restoran,1
yg,yang,0
udh,sudah,0
brlngsung,berlangsung,0
yg,yang,0
ga,enggak,0
berlau,berlaku,0
yaaa,ya,0
ntap,mantap,0
cewe,cewek,0
cowo,cowok,0
mikir,berpikir,0
mantep,mantap,0
keliatan,kelihatan,0
udah,sudah,0
bett,banget,0
sma,sama,0
nak,anak,0
kpn,kapan,0
kek,kayak,0
gni,begini,0
klw,kalau,0
nyalonin,mencalonkan,0
ga,enggak,0
krna,karena,0
lge,lagi,0
NGAKAK,mengakak,0
GUAAAAAAA,gua,0
Anjirrr,anjir,1
ngakakkkk,mengakak,0
Samoga,semoga,0
aamiin,amin,0
BANGETTTTTT,banget,0
Kereen,keren,0
Mauuuu,mau,0
Gregeeett,gereget,1
tulung,tolong,0
gak,enggak,0
ngerasa,merasa,0
smaa,sama,0
Mauuu,mau,0
mmg,memang,0
ga,enggak,0
baik2,baik-baik,1
Silahkan,silakan,0
blm,belum,0
bs,bisa,0
keceee,kece,0
Make,pakai,0
udah,sudah,0
engga,enggak,0
kebayang,terbayang,0
kek,kayak,0
gmna,bagaimana,0
teru,terus,0
nyatok,mencatok,0
nyampenya,sampainya,1
blm,belum,0
gara2,gara-gara,0
orng,orang,0
ajaaa,saja,0
ngak,enggak,0
Mnta,minta,0
udh,sudah,0
pake,pakai,0
hasinya,hasilnya,0
semakinn,semakin,0
gregeetttt,gereget,1
cantikk,cantik,0
ngaca,mengaca,0
jg,juga,0
ngedidik,mendidik,0
gak,enggak,0
anak2,anak-anak,0
tayik,tahi,1
ga,enggak,0
Gag,enggak,0
mang,memang,0
ngeliatnya,melihatnya,0
yoo,ya,0
ginian,beginian,0
imuttzz,imut-imut,1
Gx,enggak,0
nyngka,menyangka,0
bngett,banget,0
trnyata,ternyata,0
anak'a,anaknya,1
tteh,teteh,0
naaaa,nya,0
gakk,enggak,0
sm,sama,0
kl,kalau,0
tus,terus,0
ga,enggak,0
msuk,masuk,0
denger,dengar,0
memprlhatkan,memperlihatkan,0
udh,sudah,0
orng,orang,0
atas2,atas-atas,1
dosa2,dosa-dosa,1
yg,yang,0
orng2,orang-orang,1
yg,yang,0
hal2,hal-hal,0
akn,akan,0
Ucull,lucu,1
apany,apanya,1
ky,kayak,0
ni,ini,0
lbh,lebih,0
d,di,0
flm,film,0
coba2,coba-coba,1
engga,enggak,0
gak,enggak,0
htam,hitam,0
lagiiii,lagi,0
Hubunggi,hubungi,0
Cowo,cowok,0
maen,main,0
Gw,gue,0
gw,gue,0
pliara,pelihara,0
Miripp,mirip,0
knp,kenapa,0
liat,lihat,0
keinget,teringat,1
ngasih,mengasih,0
nambah,menambah,1
liatnya,lihatnya,1
kluarga,keluarga,0
Nyeruput,menyeruput,0
ga,enggak,0
gag,enggak,0
gag,enggak,0
ngundang,mengundang,0
cek2,cek-cek,1
kerjaan,pekerjaan,0
u,lu,0
syg,sayang,0
ngasih,mengasih,0
liat,lihat,0
ga,enggak,0
gemes,gemas,0
bgt,banget,0
Ni,ini,0
nyari,mencari,0
gt,begitu,0
pake,pakai,0
cantek,cantik,0
aj,saja,0
lbh,lebih,0
dri,dari,0
knp,kenapa,0
Yg,yang,0
petinggi2,petinggi-petinggi,0
slalu,selalu,0
knpa,kenapa,0
indefendet,independen,0
gak,enggak,0
tempat2,tempat-tempat,0
yg,yang,0
kyk,kayak,0
taik,tahi,0
yg,yang,0
slalu,selalu,0
anak2,anak-anak,0
kaka,kakak,0
mo,mau,0
kek,kayak,0
gini,begini,0
gak,enggak,0
dikompa,dipompa,0
Emang,memang,0
Ingt,ingat,0
Ngakak,mengakak,0
kk,kakak,0
bangeet,banget,0
kk,kakak,0
gilak,gila,0
ngomongin,mengomongkan,1
Aamiin,amin,0
kn,kan,0
sdah,sudah,0
d,ada,0
curht,curhat,0
ht,hati,0
Cantikkk,cantik,0
parahh,parah,0
idung,hidung,0
gak,enggak,0
indah2nya,indah-indahnya,1
knp,kenapa,0
cocook,cocok,0
DILIAT,dilihat,0
SENEEEEENG,senang,0
BANGEET,banget,0
GA,enggak,0
NYESEL,menyesal,0
BESARIN,membesarkan,0
ak,aku,0
kek,kayak,0
mansetan,bermanset,0
cmn,cuman,0
keliatan,kelihatan,0
nye,nya,0
pcrn,pacaran,0
trus,terus,0
ngagak,mengakak,0
trus,terus,0
d,di,0
bnyk,banyak,0
yg,yang,0
kebykan,kebanyakan,0
Liat,lihat,0
nggak,enggak,0
Nggak,enggak,0
poto,foto,0
g,enggak,0
njir,anjir,0
d,di,0
yhh,ya,0
cantix,cantik,0
kk,kakak,0
YG,yang,0
atw,atau,0
Cepet,cepat,0
yaa,ya,0
gw,gue,0
skrng,sekarang,0
bgt,banget,0
knp,kenapa,0
d,di,0
kyk,kayak,0
nenek2,nenek-nenek,0
bgt,banget,0
ceritax,ceritanya,0
gak,enggak,0
kalo,kalau,0
Ni,ini,0
slruh,seluruh,0
yg,yang,0
mencerahkn,mencerahkan,0
pkai,pakai,0
udh,sudah,0
gk,enggak,0
Layana,layanan,0
tau,tahu,0
aja,saja,0
Nonton,menonton,0
ajakin,mengajak,0
jga,juga,0
Ituu,itu,0
yg,yang,0
prnh,pernah,0
didatengin,didatangkan,1
abg,abang,0
kmariiin,kemarin,0
kaak,kak,0
kapaan,kapan,0
adain,mengadakan,1
d,di,0
smga,semoga,0
kluarga,keluarga,0
Seneng,senang,0
liat,lihat,0
pdng,padang,0
syantik,cantik,0
ga,enggak,0
YG,yang,0
JRWT,jerawat,0
MACEM2,macam-macam,1
UDH,sudah,0
PRWTAN,perawatan,0
TP,tapi,0
HSL,hasil,0
BLM,belum,0
ATO,atau,0
PGEN,pengin,0
TP,tapi,0
GAK,enggak,0
ASL,asal,0
IYAH,iya,0
MMG,memang,0
HRS,harus,0
PINTER2,pintar-pintar,1
DLM,dalam,0
APALG,apalagi,0
UTK,untuk,0
SALAH2,salah-salah,1
BKN,bukan,0
NY,nya,0
ANCURRR,hancur,0
NGERRIIII,ngeri,0
AK,aku,0
YG,yang,0
UDA,sudah,0
PNRNH,pernah,0
PNY,punya,0
SKG,sekarang,0
UDH,sudah,0
BERHATI2,berhati-hati,1
YG,yang,0
DIPAKE,dipakai,0
SEHARI2,sehari-hari,1
YG,yang,0
GAK,enggak,0
PRWTN,perawatan,0
WJH,wajah,0
YG,yang,0
PAKE,pakai,0
DR,dari,0
BANJIIR,banjir,0
TETIMONI,testimoni,0
UDH,sudah,0
MMG,memang,0
BANGETTT,banget,0
DR,dari,0
MRK,mereka,0
YG,yang,0
UDA,sudah,0
PAKE,pakai,0
UTK,untuk,0
MRK,mereka,0
YG,yang,0
UTK,untuk,0
LBH,lebih,0
LGKP,lengkap,0
gtu,begitu,0
pdhl,padahal,0
bpknya,bapaknya,0
aja,saja,0
ibuknya,ibunya,0
tp,tapi,0
bgt,banget,0
Mudah2an,mudah-mudahan,1
org,orang,0
yg,yang,0
nyaaaa,nya,0
bgt,banget,0
beneran,benaran,0
Pengen,pengin,0
kek,kayak,0
gini,begini,0
ga,enggak,0
dri,dari,0
u,lu,0
ngaku,mengaku,0
Cantiik2,cantik-cantik,0
sma,sama,0
sma,sama,0
tangisi,menangisi,1
Emng,memang,0
udah,sudah,0
abis,habis,0
malem,malam,0
ga,enggak,0
ngebuktiin,membuktikan,0
bcnda,bercanda,0
yahhhh,ya,0
Bner,benar,0
klo,kalau,0
dteng,datang,0
k,ke,0
mata'y,matanya,0
yg,yang,0
keberpa,keberapa,1
kek,kayak,0
gini,begini,0
kaga,kagak,0
gak,enggak,0
nyangka,menyangka,0
bgt,banget,0
nambah,menambah,1
DAPETIN,mendapatkan,1
bangetttt,banget,0
pda,pada,0
sdgkn,sedangkan,0
jgk,juga,0
ngk,enggak,0
kn,kan,0
Kyk,kayak,0
gini,begini,0
Smoga,semoga,0
jd,jadi,0
y,ya,0
ngerasain,merasakan,0
bgt,banget,0
kaaaaak,kak,0
snyum,senyum,0
bngett,banget,0
dlu,dulu,0
GILAK,gila,0
beraat,berat,0
psangan,pasangan,0
nie,ini,0
org,orang,0
ngmg,mengomong,0
pst,pasti,0
centillll,centil,0
pake,pakai,0
tu,itu,0
Klw,kalau,0
sdh,sudah,0
smua,semua,0
fotonyya,foto-fotonya,1
DGN,dengan,0
klo,kalau,0
Gantenggg,ganteng,0
w,gue,0
Kapannns,kapan,0
trs,terus,0
apa2,apa-apa,1
ama,sama,0
Skrg,sekarang,0
udah,sudah,0
gak,enggak,0
capee,cape,0
pegangin,memegang,1
nyender,menyandar,1
bener,benar,0
manjain,memanjakan,1
bgt,banget,0
tp,tapi,0
ama,sama,0
gag,enggak,0
jd,jadi,0
jgnn,jangan,0
liat,lihat,0
dr,dari,0
aja,saja,0
gag,enggak,0
jd,jadi,0
bgt,banget,0
ama,sama,0
bgini,begini,0
kt,kita,0
cabe2,cabe-cabe,1
jgn,jangan,0
d,di,0
prjuangan,perjuangan,0
awal2,awal-awal,0
ga,enggak,0
setabil,stabil,0
temen2,teman-teman,0
nyoba,mencoba,0
setabil,stabil,0
ga,enggak,0
temen2,teman-teman,0
kyk,kayak,0
gini,begini,0
wa,gua,0
thn,tahun,0
Utkmu,untukmu,1
anak2,anak-anak,0
dn,dan,0
ganteung,ganteng,0
ak,aku,0
kaka,kakak,0
Ngomong,mengomong,0
apeu,apa,0
nyet,monyet,1
km,kamu,0
ngucapinnya,mengucapkannya,1
smg,semoga,0
km,kamu,0
sllu,selalu,0
sht,sehat,0
jg,juga,0
smakin,semakin,0
dsyg,disayang,0
km,kamu,0
jga,juga,0
elo,lo,0
ngatain,mengatai,1
org,orang,0
tpi,tapi,0
gk,enggak,0
Taik,tahi,0
loncattt,loncat,0
Dr,dari,0
bosen,bosan,0
bangeeettt,banget,0
tiga2nya,tiga-tiganya,1
Sm,sama,0
Appa,apa,0
emg,memang,0
gk,enggak,0
sma,sama,0
bgtt,banget,0
bsa,bisa,0
trnyata,ternyata,0
G,enggak,0
bgus,bagus,0
make,pakai,0
bgs,bagus,0
bgt,banget,0
liatttt,lihat,0
Busettttt,buset,0
Kerennnn,keren,0
bangeeet,banget,0
Dr,dari,0
mmg,memang,0
mmg,memang,0
dr,dari,0
byk,banyak,0
sampe,sampai,0
org,orang,0
tp,tapi,0
msh,masih,0
nyari,mencari,0
bikin2,bikin-bikin,1
ngatur,mengatur,0
gw,gue,0
mmg,memang,0
gak,enggak,0
gw,gue,0
mmg,memang,0
krn,karena,0
bngtt,banget,0
kek,kayak,0
gini,begini,0
jd,jadi,0
bngatt,banget,0
Aq,aku,0
liyat,lihat,0
sk,suka,0
kluarga,keluarga,0
mikirin,memikirkan,1
kka,kakak,0
ngalah,mengalah,0
kpd,kepada,0
smg,semoga,0
nggakk,enggak,0
W,gue,0
Pcar,pacar,0
dberikan,diberikan,0
pcran,pacaran,0
bnget,banget,0
ngsihin,mengasih,1
brp,berapa,0
klw,kalau,0
g,enggak,0
ngaku,mengaku,0
bgtz,banget,0
Bgus,bagus,0
kyaknya,kayaknya,0
namapakin,menampakkan,1
mna,mana,0
pke,pakai,0
thn,tahun,0
benar2,benar-benar,1
kamprtttttt,kampret,1
Jelas2,jelas-jelas,0
sm,sama,0
msh,masih,0
jalanin,menjalankan,0
poto,foto,0
oprasi,operasi,0
dri,dari,0
org,orang,0
nasip,nasib,0
jngn,jangan,0
bnr2,benar-benar,0
ksih,kasih,0
gemessss,gemas,0
yaaaa,ya,0
Slmt,selamat,0
jln,jalan,0
fi,di,0
ntar,entar,0
denger,dengar,0
gw,gue,0
Cntik,cantik,0
syankk,sayang,0
Lgi,lagi,0
gx,enggak,0
ja,saja,0
Km,kamu,0
tmbah,tambah,0
cntk,cantik,0
cakeeeeppp,cakep,0
benerr,benar,0
Sdih,sedih,0
bnget,banget,0
aq,aku,0
klo,kalau,0
nginget,mengingat,0
k,kak,0
tanteny,tantenya,1
sm,sama,0
kangenn,kangen,0
kaliann,kalian,0
yg,yang,0
barengg,bareng,0
py,punya,0
Emank,memang,0
ibuk2,ibu-ibu,0
ngomenin,mengomentari,1
Anjiiiirrrr,anjir,1
tetep,tetap,0
Hndak,hendak,0
Iyapp,iya,0
Cocokkk,cocok,0
g,enggak,0
tu,itu,0
ngrepotin,merepotkan,1
ntar,entar,0
Keciill,kecil,0
ndak,enggak,1
dapet,dapat,0
emang,memang,0
dr,dari,0
gara2,gara-gara,0
g,enggak,0
bsa,bisa,0
Kyak,kayak,0
aq,aku,0
mksd,maksud,0
bangetttttyt,banget,0
darpada,daripada,0
trget,target,0
trcpai,tercapai,0
Kostomnya,kostumnya,1
in,ini,0
Ttap,tetap,0
Kecil2,kecil-kecil,0
ahir,akhir,0
aminnnnnnnnnnnn,amin,0
sueneng,senang,0
Cumn,cuman,0
kasi,kasih,0
ketce,kece,0
dg,dengan,0
dripda,daripada,0
dg,dengan,0
tuaaa,tua,0
kya,kayak,0
emak2,emak-emak,1
org,orang,0
kerennnnn,keren,0
liatnya,lihatnya,1
kk,kakak,0
cocoooook,cocok,0
Knp,kenapa,0
Lanjuttttt,lanjut,0
sekaliiii,sekali,0
dlm,dalam,0
d,di,0
dgr,dengar,0
nyanyiin,menyanyikan,1
jd,jadi,0
bgt,banget,0
jg,juga,0
ama,sama,0
apalgi,apalagi,0
nyanyiin,menyanyikan,0
akuh,aku,0
ga,enggak,0
sma,sama,0
thnan,tahunan,0
tpi,tapi,0
Abg,abang,0
tetep,tetap,0
Kerrreen,keren,0
uda,sudah,0
sllu,selalu,0
org,orang,0
tu,itu,0
scra,secara,0
klu,kalau,0
ngurusin,mengurusi,0
hdup,hidup,0
org,orang,0
baik2,baik-baik,0
belain,membela,0
resiko,risiko,0
kluarga,keluarga,0
jalanin,menjalankan,0
hdup,hidup,0
y,ya,0
adekx,adeknya,1
dri,dari,0
Adiku,adikku,1
bgd,banget,0
Lanjutin,melanjutkan,0
kuningggg,kuning,0
Yank,sayang,1
seruuuu,seru,0
hdp,hidup,0
kk,kakak,0
lw,kalau,0
ada2,ada-ada,0
aja,saja,0
yg,yang,0
nimpuk,menimpuk,0
binggow,banget,0
Kgn,kangen,0
ama,sama,0
org,orang,0
yg,yang,0
spt,seperti,0
sma,sama,0
sja,saja,0
Gw,gue,0
ngrasain,merasakan,0
gmna,bagaimana,1
skrg,sekarang,0
mskipun,meskipun,0
udh,sudah,0
th,tahun,0
yg,yang,0
sma,sama,0
gw,gue,0
sediiih,sedih,0
Nggak,enggak,0
TRS,terus,0
Amiennnn,amin,0
gini,begini,0
keliatan,kelihatan,0
dmn,dimana,1
Ky,kayak,0
jgn,jangan,0
lupain,melupakan,0
ngekek,mengakak,0
jgn,jangan,0
pda,pada,0
ngatur,mengatur,0
hdp,hidup,0
hrs,harus,0
na,nya,0
tau,tahun,0
tu,itu,0
cpa,siapa,0
urusin,mengurusi,0
muke,muka,0
ancur,hancur,0
ky,kayak,0
qt,kita,0
je,saja,0
dlu,dulu,0
sklinyaa,sekalinya,1
k,kak,0
aq,aku,0
dr,dari,0
smnjak,semenjak,0
lahiran,melahirkan,0
blom,belum,0
smulla,semula,0
pdhall,padahal,0
sdh,sudah,0
blln,bulan,0
nontooon,menonton,0
mirippp,mirip,0
mgkn,mungkin,0
tp,tapi,0
bener,benar,0
lsg,langsung,0
ilang,hilang,0
Pasangn,pasangan,0
pgn,pengin,0
tuwanya,tuanya,1
Gmn,bagaimana,1
ama,sama,0
kmu,kamu,0
bknya,bukannya,1
ga,enggak,0
kelkuanya,kelakuannya,1
membanding2kan,membanding-bandingkan,1
karna,karena,0
mnciptakan,menciptakan,0
awal2,awal-awal,0
setabil,stabil,0
meranin,memerankan,0
canteek,cantik,0
pakek,pakai,0
pecahhg,pecah,0
bangettttt,banget,0
k,kak,0
dlu,dulu,0
jugak,juga,0
nontin,menonton,0
lg,lagi,0
jdi,jadi,0
kura2,kura-kura,0
yankkk,sayang,0
Maaaoooo,mau,0
skrng,sekarang,0
pipix,pipinya,0
bngt,banget,0
jd,jadi,0
kliatan,kelihatan,0
lbih,lebih,0
bngt,banget,0
mnrt,menurut,0
kk,kakak,0
cntik,cantik,0
nyari,mencari,0
nolong,menolong,0
J,saja,0
org,orang,0
nolong,menolong,0
utk,untuk,0
ngembaliin,mengembalikan,0
Ig,lagi,0
Jorookk,jorok,0
bs,bisa,0
kmana,kemana,1
say,sayang,1
ngurusin,mengurusi,0
ska,suka,0
Gilaaa,gila,0
aq,aku,0
km,kamu,0
q,aku,0
slalu,selalu,0
q,aku,0
nnti,nanti,0
pnya,punya,0
kta,kita,0
bgni,begini,0
gk,enggak,0
ank,anak,0
ngucapin,mengucapkan,0
bkin,bikin,0
jgn,jangan,0
ngaco,mengacau,0
abis,habis,0
Okeehh,oke,0
nnti,nanti,0
fto,foto,0
gtu,begitu,0
cpt,cepat,0
smbuh,sembuh,0
Gemesin,menggemaskan,1
kyk,kayak,0
njirr,anjir,0
Kereeennnn,keren,0
y,ya,0
kakaa,kakak,0
bgts,banget,0
presepsi,persepsi,0
nyusul,menyusul,0
main2,main-main,0
milih,memilih,0
slamat,selamat,0
jln,jalan,0
kk,kakak,0
dn,dan,0
tdk,tidak,0
Krna,karena,0
kk,kakak,0
tu,itu,0
org,orang,0
Cantikkk,cantik,0
ngiriii,mengiri,0
Gak,enggak,0
dg,dengan,0
